AREA NAME,AREA CODE,District Name,District,LEAD FINANCE NBR,ZIP CODE,ZIP CLASS CODE,LOCALE NAME,LOCALE KEY,LOCALE TYPE,PHYSICAL DELV ADDR,PHYSICAL CITY,PHYSICAL STATE,PHYSICAL ZIP,PHYSICAL ZIP 4
ATLANTIC,4B,CONNECTICUT,060,083366,06101,,HARTFORD,PV20285,P,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,083366,06152,,HARTFORD,PV20285,P,141 WESTON ST,HARTFORD,CT,06101,9998
ATLANTIC,4B,CONNECTICUT,060,086120,06230,P,POMFRET CENTER,PV20531,P,144 MURDOCK RD,POMFRET CENTER,CT,06259,9998
ATLANTIC,4B,CONNECTICUT,060,087446,06265,,SOUTH WILLINGTON,PV20630,P,310 ROUTE 169,SOUTH WILLINGTON,CT,06265,
ATLANTIC,4B,CONNECTICUT,060,085270,06474,P,NORTH WESTCHESTER,PV20471,P,103 S MAIN ST STE 3A,COLCHESTER,CT,06415,9992
ATLANTIC,4B,CONNECTICUT,060,080578,06602,P,BRIDGEPORT,PV20069,P,120 MIDDLE ST,BRIDGEPORT,CT,06602,9998
ATLANTIC,4B,CONNECTICUT,060,088704,06701,,WATERBURY,PV20783,P,135 GRAND ST,WATERBURY,CT,06701,9998
ATLANTIC,4B,CONNECTICUT,060,082550,06828,,FAIRFIELD,PV20221,P,1300 POST RD STE 5,FAIRFIELD,CT,06824,9998
ATLANTIC,4B,CONNECTICUT,060,087718,06910,,STAMFORD,PV20671,P,24 CAMP AVE,STAMFORD,CT,06907,9998
ATLANTIC,4B,NEW JERSEY,070,336420,07510,,PATERSON,PV11161,P,194 WARD ST,PATERSON,NJ,07510,9998
ATLANTIC,4B,NEW JERSEY,070,337095,07703,,RED BANK,PV11284,P,171 BROAD ST UNIT 1,RED BANK,NJ,07701,9998
ATLANTIC,4B,NEW JERSEY,070,332310,07799,,EATONTOWN,PV10394,P,409 SOUTH ST,EATONTOWN,NJ,07724,9998
ATLANTIC,4B,NEW JERSEY,070,332205,07806,,DOVER,PV10347,P,22 N SUSSEX ST,DOVER,NJ,07801,9998
ATLANTIC,4B,NEW JERSEY,070,331785,07881,,COLUMBIA,PV10292,P,27 DECATUR ST,COLUMBIA,NJ,07832,9998
ATLANTIC,4B,NEW JERSEY,070,335460,07999,,MORRISTOWN,PV10956,P,166 RIDGEDALE AVE STE 9,MORRISTOWN,NJ,07960,4085
ATLANTIC,4B,NEW JERSEY,070,337290,08076,P,RIVERTON,PV11307,P,605 MAIN ST STE 100,RIVERTON,NJ,08077,9998
ATLANTIC,4B,NEW JERSEY,070,332347,08899,,EDISON,PV10401,P,2101 STATE ROUTE 27,EDISON,NJ,08817,9998
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09000,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09002,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09003,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09004,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09005,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09006,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09008,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09009,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09010,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09011,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09012,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09013,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09014,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09015,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09016,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09017,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09018,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09020,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09021,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09034,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09044,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09046,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09049,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
